astecid,date,cusip,isin,tradingsymbol,utilizationpercentunits,availableunits,availablemarketvalueusd
100258,2014-06-27,037833100,US0378331005,AAPL,0.12,536068929.0,48811308904.822
100258,2014-06-30,037833100,US0378331005,AAPL,0.04,534557299.0,49201804703.45
100258,2014-10-01,037833100,US0378331005,AAPL,0.09,525051165.0,52747443426.7652
100258,2014-10-02,037833100,US0378331005,AAPL,0.14,526001948.0,52288742323.8096
100258,2014-10-03,037833100,US0378331005,AAPL,0.08,525593143.0,52454819168.4007
100258,2014-10-06,037833100,US0378331005,AAPL,0.06,524692702.0,52280030261.992
100258,2014-10-07,037833100,US0378331005,AAPL,0.02,525078491.0,52235154509.4969
100258,2014-10-08,037833100,US0378331005,AAPL,0.05,525010410.0,52044513195.6901
100258,2014-10-09,037833100,US0378331005,AAPL,0.02,523974581.0,52752764671.6846
100258,2014-10-10,037833100,US0378331005,AAPL,0.02,525559630.0,53058941272.4748
100258,2014-10-13,037833100,US0378331005,AAPL,0.02,525432234.0,52912883735.8458
100258,2014-10-14,037833100,US0378331005,AAPL,0.25,525675716.0,52459163679.8122
100258,2014-10-15,037833100,US0378331005,AAPL,0.09,526067126.0,51894487330.098
100258,2014-10-16,037833100,US0378331005,AAPL,0.04,526545140.0,51305417413.4883
100258,2014-10-17,037833100,US0378331005,AAPL,0.04,526553933.0,50855649988.2965
100258,2014-10-20,037833100,US0378331005,AAPL,0.04,524513657.0,51350787572.3972
100258,2014-10-21,037833100,US0378331005,AAPL,0.03,523731167.0,52383277798.7247
100258,2014-10-22,037833100,US0378331005,AAPL,0.05,523046489.0,53533881123.6448
100258,2014-10-23,037833100,US0378331005,AAPL,0.11,526081232.0,54307315896.1948
100258,2014-10-24,037833100,US0378331005,AAPL,0.08,526552886.0,55160758381.1332
100258,2014-10-27,037833100,US0378331005,AAPL,0.04,527462679.0,55433222325.3584
100258,2014-10-28,037833100,US0378331005,AAPL,0.03,527336821.0,55562710913.8779
100258,2014-10-29,037833100,US0378331005,AAPL,0.03,527658221.0,56307718768.874
100258,2014-10-30,037833100,US0378331005,AAPL,0.06,526039297.0,56413599727.4041
100258,2014-10-31,037833100,US0378331005,AAPL,0.05,521770108.0,55913050258.1187
100258,2014-11-03,037833100,US0378331005,AAPL,0.05,521282080.0,56370181713.7135
100258,2014-11-04,037833100,US0378331005,AAPL,0.07,517041025.0,56448182496.6068
100258,2014-11-05,037833100,US0378331005,AAPL,0.07,515635278.0,56049246287.4204
100258,2014-11-06,037833100,US0378331005,AAPL,0.05,515740155.0,56120842685.9698
100258,2014-11-07,037833100,US0378331005,AAPL,0.05,518977947.0,56442746385.8004
100258,2014-11-10,037833100,US0378331005,AAPL,0.52,517253491.0,56360004849.1452
