astecid,date,cusip,isin,tradingsymbol,contracttypeid,collateraltypeid,collateralcurrencyid,lowerbound,upperbound,units,newunits
100258,2013-08-12,037833100,US0378331005,AAPL,O,C,USD,0.0,0.25,3452020.0,3402872.0
100258,2013-08-13,037833100,US0378331005,AAPL,O,N,XXX,0.3,0.4,1100.0,0.0
100258,2013-08-14,037833100,US0378331005,AAPL,O,A,AAA,-0.2,-0.1,228203.0,0.0
100258,2013-08-15,037833100,US0378331005,AAPL,O,A,AAA,-0.4,-0.3,2265400.0,30000.0
100258,2013-10-01,037833100,US0378331005,AAPL,O,N,XXX,0.1,0.2,46500.0,0.0
100258,2013-10-02,037833100,US0378331005,AAPL,O,N,XXX,0.1,0.2,46500.0,0.0
100258,2013-10-03,037833100,US0378331005,AAPL,O,C,USD,0.2,0.3,342978.0,0.0
100258,2013-10-04,037833100,US0378331005,AAPL,O,C,USD,0.2,0.3,334378.0,0.0
100258,2013-10-07,037833100,US0378331005,AAPL,O,C,USD,0.6,0.7,71600.0,0.0
100258,2013-10-08,037833100,US0378331005,AAPL,O,N,XXX,0.1,0.15,32800.0,0.0
100258,2013-10-09,037833100,US0378331005,AAPL,O,A,AAA,-0.6,-0.5,50000.0,0.0
100258,2013-10-10,037833100,US0378331005,AAPL,O,C,USD,0.7,0.8,27200.0,900.0
100258,2013-10-11,037833100,US0378331005,AAPL,O,A,AAA,-0.6,-0.5,59100.0,9100.0
100258,2013-10-14,037833100,US0378331005,AAPL,O,A,AAA,-0.4,-0.3,308100.0,0.0
100258,2013-10-15,037833100,US0378331005,AAPL,O,N,XXX,0.1,0.15,33260.0,0.0
100258,2013-10-16,037833100,US0378331005,AAPL,O,C,USD,0.1,0.2,83800.0,3600.0
100258,2013-10-17,037833100,US0378331005,AAPL,O,C,USD,0.1,0.2,57400.0,3600.0
100258,2013-10-18,037833100,US0378331005,AAPL,O,N,XXX,0.1,0.15,20.0,0.0
100258,2013-10-21,037833100,US0378331005,AAPL,O,C,USD,1.0,1.25,200.0,200.0
100258,2013-10-22,037833100,US0378331005,AAPL,O,C,USD,0.6,0.7,70100.0,0.0
100258,2013-10-23,037833100,US0378331005,AAPL,O,N,XXX,0.15,0.16,10200.0,10200.0
100258,2013-10-24,037833100,US0378331005,AAPL,O,C,USD,0.0,0.25,199600.0,15200.0
100258,2013-10-25,037833100,US0378331005,AAPL,O,C,USD,0.3,0.4,336452.0,0.0
100258,2013-10-28,037833100,US0378331005,AAPL,O,A,AAA,-0.2,-0.1,539800.0,0.0
100258,2013-10-29,037833100,US0378331005,AAPL,O,A,AAA,0.0,0.25,113105.0,35985.0
100258,2013-10-30,037833100,US0378331005,AAPL,O,A,AAA,2.0,2.25,48.0,48.0
100258,2013-10-31,037833100,US0378331005,AAPL,O,C,USD,-0.25,0.0,121400.0,121400.0
100258,2013-11-01,037833100,US0378331005,AAPL,O,C,USD,-0.1,0.0,82000.0,31838.0
100258,2013-11-04,037833100,US0378331005,AAPL,O,C,USD,0.0,0.25,455400.0,21118.0
100258,2013-11-05,037833100,US0378331005,AAPL,O,C,USD,0.5,0.6,848400.0,36000.0
100258,2013-11-06,037833100,US0378331005,AAPL,O,C,USD,0.6,0.7,65000.0,0.0
100258,2013-11-07,037833100,US0378331005,AAPL,O,C,USD,-0.5,-0.4,500.0,0.0
100258,2013-11-08,037833100,US0378331005,AAPL,O,C,USD,0.7,0.8,5400.0,0.0
100258,2013-11-11,037833100,US0378331005,AAPL,O,C,USD,0.1,0.2,392400.0,93200.0
100258,2013-11-12,037833100,US0378331005,AAPL,O,C,USD,-0.1,0.0,266700.0,18900.0
